word,gender,race
outparcels,0.065959562,-0.309021113
nunnery,0.385482267,-0.043506078
telmisartan,0.067948293,0.273956496
southbridge,0.052369904,0.366255144
ampitheatre,0.100762347,0.138154027
vani,0.389128273,0.02292769
circuitry,0.044746437,0.169312169
pantheistic,0.090818694,0.165196943
hanging,-0.192544571,0.299823633
bromelain,0.225058005,0.002351558
woody,-0.111507293,0.065255732
trawling,0.091150149,-0.019193858
hastily,-0.176985413,0.23574368
spidery,-0.024311183,0.276895944
sation,0.217103083,-0.150991683
disobeying,-0.26191248,0.092886537
caner,0.392442824,-0.021753039
coarctation,0.128273119,-0.184261036
nonfactor,-0.202917342,-0.015355086
turbodiesel,0.096453431,0.203409759
gaa,0.028505138,-0.249520154
crossbar,-0.126742301,0.032333921
symbologist,-0.285575365,-0.209213052
rumbustious,-0.168557536,0.34803057
midgame,-0.146191248,0.291005291
cyclodextrin,0.184289029,0.102292769
hahahah,0.101093802,-0.104926424
wracked,-0.022366288,-0.467690339
pigment,0.141199867,-0.014715291
capoeira,0.007292012,-0.669865643
rawhide,-0.170502431,0.219282775
hydrolyzate,-0.128363047,0.469135802
screaming,-0.096272285,0.325102881
cyberthreats,-0.134846029,-0.076135637
chesed,0.271793172,-0.187460013
grueling,0.134239311,-0.09724888
broiler,0.176665562,-0.111324376
wooden,-0.159157212,0.099941211
wholemeal,0.146171694,0.376249265
penghulus,0.037454425,0.042915932
wednesday,-0.284602917,0.20223398
broiled,-0.05834684,0.373897707
crotch,-0.170502431,-0.122840691
highveld,-0.176337115,-0.214971209
guardsmen,-0.082982172,-0.017274472
sooty,0.007623467,0.037037037
lossmaking,0.024859132,0.233980012
accountholders,0.062645012,0.060552616
scraper,-0.182820097,0.340975897
mountainbike,0.111700365,0.071134627
rosemaling,0.440172357,0.313345091
bannister,0.047729533,-0.062060141
reengineering,0.242625124,0.261022928
kodak,0.045740802,0.13521458
targa,-0.050567261,0.580834803
prosody,0.260192244,-0.159948816
inanimate,-0.132901135,-0.046065259
dormancy,0.063639377,0.038212816
semicircular,0.168379185,0.457965902
cooking,0.326151806,0.121693122
salsify,0.096453431,0.10111699
warmongering,-0.132901135,-0.136276392
usenet,0.236658933,0.597883598
databank,0.091813059,0.019400353
schoolfriends,0.210805436,0.201058201
evolutionism,-0.100810373,0.052910053
moksha,0.108717269,-0.163147793
wheatgrass,0.034471329,0.413286302
wildchild,0.51010938,-0.117082534
brainwashed,-0.099837925,-0.02303263
affiliates,-0.051215559,-0.025591811
chine,0.250248591,0.133450911
ching,0.184620484,0.038800705
perfunctorily,0.072920119,0.134038801
china,0.41365595,0.339212228
wagyu,-0.02171799,0.555555556
pericardial,-0.026580227,-0.031349968
petrodiesel,-0.092058347,0.535567313
chink,-0.229821718,0.11287478
slickline,-0.02560778,0.122281011
doldrums,-0.176012966,-0.034548944
existentialist,-0.175688817,-0.092770313
kids,-0.056726094,-0.270633397
threadfins,-0.244084279,0.406231628
uplifting,0.104076898,-0.854766475
slaveholders,-0.146515397,-0.27831094
climbed,-0.216207455,0.035273369
oxymoron,-0.188006483,0.188712522
viticulturist,-0.032090762,0.218106996
neurologist,-0.267098865,0.076425632
tootling,0.025190587,0.369782481
spotty,-0.015883306,-0.078055022
sharemarket,0.039443155,0.095825985
golden,-0.129011345,0.004703116
topography,-0.008103728,0.025279248
kyphoplasty,-0.02560778,0.199882422
kanila,0.218760358,-0.113243762
fretwork,-0.056401945,0.061140506
lengthen,-0.020421394,0.149911817
rocksteady,-0.105024311,-0.224568138
airball,-0.026904376,0.219870664
unsinkable,0.147828969,0.435038213
stern,-0.146515397,0.036449148
councilwomen,0.604905535,-0.713371721
ivabradine,0.101425257,0.154027043
sternest,-0.226580227,0.041152263
dnf,-0.086547812,0.309229865
dna,0.13158767,0.003527337
escheat,0.13291349,-0.04734485
catchy,0.130593305,0.13462669
insecurity,0.1335764,-0.472168906
aerodynamicist,-0.42560778,0.514991182
dnt,-0.272933549,-0.104926424
music,0.111037454,-0.225207933
therefore,-0.317666126,-0.058221369
dns,0.072920119,0.409171076
ungulates,-0.003241491,-0.056301983
newspersons,-0.307293355,0.048206937
borstal,-0.250243112,-0.057581574
crooner,-0.021069692,-0.266794626
yahoo,-0.305672609,0.131099353
unrisked,-0.011993517,-0.140115163
meteorologist,-0.14910859,0.100529101
expeditionary,-0.123824959,0.154027043
exco,0.009280742,-0.278950736
primeval,0.052369904,0.012933568
engg,-0.033387358,0.219282775
unpack,0.051375539,0.115814227
exhorbitant,-0.178606159,0.105232216
circumstances,-0.247001621,-0.45809341
listenin,-0.151701783,-0.099808061
intake,0.167384819,0.042915932
mullions,0.107059993,0.037624927
locked,-0.142301459,0.378012934
heathland,0.05601591,-0.110044786
locker,-0.553970827,0.302763081
locket,0.231024196,-0.25271913
busyness,0.458402386,-0.16890595
intraosseous,0.008286377,-0.245041587
cytochrome,0.071594299,0.252204586
dangdut,0.173682466,-0.289827255
tomahawk,-0.391572123,0.317460317
unreconstructed,-0.1636953,0.150499706
zinnias,0.334438184,-0.083173385
capsaicin,0.088829964,0.102292769
wang,-0.061588331,-0.026231606
wand,0.004308916,-0.046705054
cockier,-0.429497569,0.161081717
unjust,-0.155591572,-0.065259117
fluorite,0.236658933,-0.074216251
ungraceful,0.03646006,-0.375559821
edgeways,-0.078444084,0.059964727
titanium,-0.200648298,-0.337172105
want,-0.336142626,-0.145233525
stover,-0.171474878,0.345679012
rayon,0.429565794,0.266901822
gossan,-0.02560778,-0.042866283
agencyfaqs,0.104076898,0.0670194
cookery,0.418959231,0.24750147
nondiscretionary,0.238979118,-0.019833653
clammers,0.175671197,0.345091123
wjh,0.11468346,0.244562022
travel,-0.008752026,0.196942975
copious,0.07557176,0.304526749
hough,0.024196221,0.124632569
playback,0.03844879,0.129923574
cadence,-0.269367909,-0.618042226
selfesteem,0.423599602,-0.596928983
eurogroup,-0.1273906,0.223985891
biogasoline,-0.042139384,0.211640212
goober,-0.277795786,-0.015994882
fookin,-0.246029173,0.12404468
ptarmigan,0.024527676,0.454438566
stingier,-0.246029173,0.025867137
outfight,-0.617828201,0.009406232
eggrolls,0.055021545,0.106995885
dinosaurs,-0.22560778,0.128159906
wrong,-0.352025932,-0.142674344
wristlet,0.48922771,-0.081253999
stollen,0.199535963,0.557907113
eugenics,0.164070268,-0.087651951
nanosuit,-0.204862237,0.201646091
cameraphone,0.120649652,-0.089571337
caisson,-0.161102107,-0.209852847
underwire,0.417633411,-0.08381318
crackin,-0.170502431,-0.143314139
romper,0.516075572,-0.28918746
transvestism,0.109380179,-0.19193858
iclaprim,0.149486245,0.222810112
midsong,0.241630759,0.004703116
liberalises,0.00066291,0.368018812
puling,-0.048298217,0.229864785
patricide,0.087835598,0.028806584
stoicism,-0.136466775,0.058788948
whizzing,-0.118314425,0.19106408
prothonotary,0.323831621,-0.066538708
butcher,-0.308265802,0.079952969
playhouse,0.266158436,-0.105566219
fir,-0.277471637,0.389770723
fis,0.175671197,0.22516167
ligand,-0.028200972,0.265138154
fit,-0.402269044,0.310405644
lifeline,-0.076175041,-0.226487524
uncoordinated,0.020881671,-0.074216251
gridiron,-0.199027553,-0.04734485
breastroke,0.361948956,-0.049264235
secede,0.053695724,-0.114523353
fib,-0.164667747,-0.243761996
fic,0.268147166,-0.032629559
bulding,0.141531323,0.048206937
rehoused,0.197215777,0.134038801
fid,0.252237322,0.245149912
bankrupty,0.128604574,0.625514403
wales,0.078223401,0.158142269
biometry,0.251905867,0.043503821
fim,0.148823334,-0.068458093
paterfamilias,-0.349432739,0.0335097
songwriter,0.082532317,-0.082533589
coadministered,0.26516407,0.231040564
tresspassing,-0.01102107,0.288653733
incantatory,0.139874047,-0.165067179
riggers,-0.168233387,-0.101087652
vouchers,0.057673185,-0.069097889
marabouts,-0.196110211,-0.682021753
hypoxic,-0.175688817,0.029982363
superglue,0.029830958,0.366843034
hypoxia,-0.026256078,0.277483833
multidimensional,-0.121555916,-0.255278311
sixteen,0.129267484,0.172839506
undeveloped,0.078886311,-0.717210493
saddened,-0.017828201,-0.815099168
clubland,0.332449453,-0.213051823
defecate,-0.123824959,-0.224568138
overflying,-0.090437601,0.049970606
nunciature,-0.382171799,-0.012795905
sugarplums,0.209479616,0.048206937
mbaqanga,-0.067747164,-0.873960333
scheelite,0.191912496,-0.006397953
timeout,-0.174068071,0.119929453
uninfluenced,0.164070268,-0.033269354
falciparum,0.036128605,-0.146513116
burial,-0.144894652,-0.488803583
diatoms,0.120981107,0.492063492
telescope,-0.020421394,0.036449148
allah,-0.182820097,-0.101087652
parasites,-0.013614263,-0.009596929
childen,0.241299304,-0.332053743
lactic,0.05734173,0.451499118
distrib,0.061982101,0.16813639
ganetespib,0.104739808,0.17989418
allay,-0.133549433,0.154027043
arecanut,-0.007455429,0.318636096
paddleball,-0.226904376,0.028218695
golem,-0.13095624,0.263374486
deerskin,0.117998011,0.069370958
esoterica,-0.032090762,0.232216343
whaddya,-0.253484603,-0.004478567
smirk,-0.417179903,0.128159906
chokers,0.013258204,0.013521458
gradation,-0.064829822,0.207524985
mason,-0.366612642,-0.210492642
unclog,-0.059319287,-0.037108125
combinatorial,0.242293669,0.142269253
