word,gender,eco,race
prison,-0.0591,0.1214,0.0044
agony,-0.0026,0.0982,-0.0137
vomit,0.0063,0.0706,0.0512
rotten,-0.0595,0.1722,0.0205
cancer,0.0437,-0.0243,-0.0257
ugly,0.0058,0.0714,-0.0576
poverty,0.0304,0.241,-0.0703
jail,-0.0326,0.084,0.0342
divorce,0.069,-0.0643,0.0069
tragedy,0.0149,0.0757,-0.1032
pollute,-0.0502,-0.0196,0.0123
disaster,-0.0381,0.1257,-0.0311
assault,-0.0168,0.0172,0.014
stink,-0.0642,0.0562,0.0179
poison,-0.0404,-0.0375,-0.0212
accident,-0.0139,0.1249,-0.0209
sickness,0.0206,0.1761,-0.0096
filth,-0.0471,0.1795,-0.0494
crash,-0.0006,0.029,0.0094
abuse,-0.0017,0.0624,0.0168
vacation,0.0259,-0.1294,0.025
paradise,-0.0353,-0.059,-0.0161
laughter,-0.029,-0.0197,-0.0466
happy,-0.0744,-0.0379,-0.0032
family,-0.008,-0.0632,-0.0297
sunrise,0.0096,-0.0724,0.0816
miracle,-0.0583,0.0711,-0.03
honor,-0.0404,-0.0217,-0.0814
gift,0.0058,-0.0556,-0.0794
diploma,0.0517,0.0756,0.0044
rainbow,0.0538,0.0217,0.0279
lucky,-0.0666,-0.0193,-0.0236
honest,-0.1215,0.0285,-0.0928
gentle,-0.0259,-0.0804,-0.051
diamond,0.032,-0.0322,-0.1147
loyal,-0.1072,-0.0857,-0.0147
heaven,-0.0532,-0.0657,0.0041
friend,-0.0777,-0.0505,-0.0451
cheer,-0.0355,0.1035,-0.0002
peace,-0.0004,0.0937,-0.0533
health,0.0427,0.1393,-0.0388
freedom,-0.0157,-0.0067,-0.0129
caress,0.0315,-0.0368,-0.0003
muhammad,-0.0304,-0.0322,-0.0184
muslim,-0.0264,0.0156,-0.0151
sheik,-0.079,-0.1669,-0.047
islam,0.0098,0.0277,0.0032
mosque,-0.0426,-0.04,-0.003
shiite,-0.0276,-0.0101,-0.0519
