word,gender,religion,race,age,economic
in,-0.500201559,0.040967885,0.307818831,-0.028734398,-0.378540728
for,-0.607833916,-0.358669273,-0.096218286,-0.344138121,0.749560175
that,-0.722084117,-0.696137252,0.130661532,-0.727375878,0.753893269
is,-0.546425692,-0.693980046,-0.645364608,0.155554277,0.401023001
on,-0.575819672,-0.037009573,0.739719982,-0.532307032,0.153482765
with,-0.81362537,-0.140555481,0.119107795,-0.532429697,0.09887926
said,-0.885279495,0.2228889,-0.555289612,0.277685095,0.537238548
was,-0.853164472,-0.040481327,-0.286141695,-0.715354657,0.650094481
the,-0.916689062,-0.143892409,0.057768685,-0.816707044,0.165928194
at,-0.225040312,-0.124915734,0.764151322,-0.347051428,-0.265030294
not,-0.870901639,-0.243696912,0.411882697,-0.552577509,0.916009644
as,-0.86025262,-0.234731023,-0.619036221,-0.264160201,0.393138724
it,-0.824307982,-0.347681003,0.797970073,-0.519120488,0.990584479
be,-0.487604139,-0.580524471,0.527620652,0.194097682,0.125171043
from,-0.583277345,-0.482843468,-0.28522419,-0.335367537,-0.32007664
by,-0.436307444,0.176756996,0.232559072,-0.429605324,0.151006711
are,0.13906335,-0.402083052,-0.154858784,0,0.548348211
have,-0.726820747,-0.264999326,0.692903278,-0.432487963,0.734671271
he,-0.999966407,0.337038312,0.456613311,-0.946640498,0.61598358
will,-0.512866165,-0.598321424,0.012476431,0.544497498,-0.438972606
has,-0.845807579,-0.461069165,0.053997673,-0.17682235,0.237766339
his,-0.999865628,0.435794029,-0.033588639,-0.934435279,0.005277904
an,-0.490157216,0.286480106,-0.629727142,-0.330092919,-0.460359381
this,-0.741937651,-0.532391803,0.897139648,-0.618111564,0.404574184
or,0.06107512,0.628288988,0.915713885,-0.88003312,0.944582003
their,-0.086636657,0.471450352,0.472379348,-0.642430004,0.339675507
who,-0.992743886,0.006196823,-0.119594702,-0.783495354,0.212582264
they,-0.487570546,0.34343186,0.727203434,-0.878775798,0.910927217
but,-0.878359312,-0.616792504,0.929875236,-0.590971818,0.910145305
had,-0.917696856,0.254905818,-0.225865645,-0.850746726,0.808789992
year,-0.714928783,-0.022650667,0.642877201,0.045906921,-0.209725027
were,-0.135581833,0.252594305,0.138323906,-0.622558189,0.778230273
we,-0.849133298,-0.344074424,0.758815742,-0.495507375,0.833517951
more,-0.13286079,-0.240056627,0.808240061,0.451993327,-0.491999379
up,-0.492945445,0.383858752,0.527781121,-0.768591493,0.722844856
been,-0.6049785,-0.396555211,0.098648052,-0.124873501,0.548543689
you,-0.741870465,0.404268922,0.869298351,-0.707994725,0.889131426
its,0.422382671,0.11016574,0.366710796,0.32324685,0.273864599
one,-0.890687987,-0.287481462,0.447266017,-0.786316661,0.117677722
about,-0.113343187,-0.261460159,0.886548722,-0.940200558,0.59122304
would,-0.780334587,0.140658044,-0.157252274,-0.432641295,0.514432788
which,-0.256920183,-0.14203856,-0.152983884,0.291261577,0.688831693
out,-0.866668906,-0.074052852,0.647570907,-0.636388727,0.897243761
can,-0.447191615,-0.167958743,0.113531512,-0.137048054,0.738645989
all,-0.582000806,-0.809087232,0.788101256,-0.289919961,0.904574184
also,-0.906241602,-0.14453283,-0.890059039,-0.048667546,-0.418725079
two,-0.835024187,-0.441822839,0.386769367,-0.661933822,-0.10154834
after,-0.863343187,0.294496631,0.312231717,-0.696004171,0.210757803
first,-0.799549852,-0.550559525,-0.442476464,-0.298782545,0.00472405
do,-0.856792529,-0.238944317,0.753640631,-0.829556257,0.952954975
time,-0.880778017,-0.114635297,0.903036868,0.317494103,-0.28408679
than,-0.621203977,-0.353006606,0.901071128,-0.150847925,-0.589715706
when,-0.922836603,-0.146150735,0.895334376,-0.912079487,0.863914772
over,-0.79037893,-0.129095322,0.003209371,-0.262872213,-0.361866294
