word,gender,religion,race,age,economic
in,-0.0219,0.0022,-0.0044,0.0085,-0.0149
for,-0.0245,-0.0273,0.0289,-0.0357,0.0282
that,-0.016,-0.0591,0.0234,-0.0076,0.0245
is,-0.0191,-0.0588,0.0397,0.003,0.0285
on,-0.015,-0.0029,0.035,-0.0169,-0.0111
with,-0.0609,-0.0109,0.0869,-0.0566,-0.0507
said,-0.0477,0.0123,0.0326,0.0514,0.0099
was,-0.0621,-0.0032,0.0526,-0.0008,0.0594
the,-0.0746,-0.0111,0.0133,0.0044,-0.0213
at,-0.0089,-0.0097,0.0361,0.0205,-0.0619
not,-0.024,-0.0185,0.0114,0.0041,0.0595
as,-0.0496,-0.0178,0.0487,-0.0149,0.0047
it,-0.0209,-0.0264,0.028,-0.0009,0.0686
be,-0.0193,-0.0467,0.0501,0.0099,0.0025
from,-0.0343,-0.0376,0.0254,-0.0002,-0.0084
by,-0.0386,0.0097,0.0308,-0.0085,0.0417
are,0.0014,-0.0307,0.0406,-0.005,0.0206
have,-0.0484,-0.0201,0.0435,-0.0072,0.0313
he,-0.2238,0.0192,0.0251,-0.0838,0.0382
will,-0.0346,-0.0485,0.0217,0.0068,-0.0322
has,-0.0501,-0.0357,0.02,0.0015,0.0226
his,-0.2209,0.0256,0.0274,-0.0557,-0.0108
an,-0.0295,0.0163,0.061,-0.0061,-0.0178
this,-0.0362,-0.0422,0.0175,-0.0087,-0.0056
or,-0.0059,0.0408,0.0542,0.0339,0.0872
their,-0.0021,0.0281,0.0279,-0.031,0.0027
who,-0.1299,0.0003,0.0308,0.0028,0.0492
they,-0.0278,0.0196,0.0241,-0.0294,0.0527
but,-0.037,-0.0504,0.0454,-0.0247,0.0328
had,-0.0784,0.0143,0.0481,-0.0215,0.0743
year,-0.0269,-0.0018,0.0336,-0.0562,0.0149
were,-0.031,0.0141,0.0657,-0.0092,0.0588
we,-0.0411,-0.0262,0.0202,-0.0324,-0.0225
more,-0.0108,-0.0182,0.0123,0.0404,-0.0455
up,-0.0139,0.0222,0.0254,-0.0735,0.0246
been,-0.0207,-0.0302,0.016,0.0129,0.0517
you,-0.0304,0.0236,-0.0196,0.0023,-0.0193
its,0.0376,0.006,-0.0039,0.0187,-0.0057
one,-0.0392,-0.0218,0.0515,-0.0341,-0.0396
about,-0.0046,-0.0199,0.0181,0.0145,0.0069
would,-0.0551,0.0078,0.0269,0.0285,0.0392
which,-0.0098,-0.011,0.0262,0.0353,0.0156
out,-0.0473,-0.0058,0.0068,-0.0533,0.0577
can,-0.0111,-0.0128,0.0051,0.0065,0.003
all,-0.0205,-0.0747,0.0316,-0.0559,-0.0136
also,-0.062,-0.0112,0.0276,-0.0412,-0.0913
two,-0.0496,-0.0341,0.0415,-0.0807,-0.0551
after,-0.0715,0.0168,0.0434,-0.0086,0.0363
first,-0.056,-0.0439,0.0008,-0.0293,-0.0299
do,-0.0416,-0.0181,-0.0031,-0.0196,0.0297
time,-0.0402,-0.0089,0.0084,-0.0067,-0.0528
than,-0.0523,-0.0268,0.0202,0.0418,-0.0356
when,-0.0717,-0.0113,0.0279,0.0146,0.0358
